Channel,Customer,Year,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,6048141,2017,12669,9656,7561,214,2674,1338
2,9336325,2017,7057,9810,9568,1762,3293,1776
2,6272942,2017,6353,8808,7684,2405,3516,7844
1,7856217,2017,13265,1196,4221,6404,507,1788
2,6179511,2017,22615,5410,7198,3915,1777,5185
2,2288780,2017,9413,8259,5126,666,1795,1451
2,4005184,2017,12126,3199,6975,480,3140,545
2,5508432,2017,7579,4956,9426,1669,3321,2566
1,7407238,2017,5963,3648,6192,425,1716,750
2,8386256,2017,6006,11093,18881,1159,7425,2098
2,4538271,2017,3366,5403,12974,4400,5977,1744
2,4422581,2017,13146,1124,4523,1420,549,497
2,9012181,2017,unrecorded,12319,11757,287,3881,2931
2,1425037,2017,21217,6208,14982,3095,6707,602
2,7456214,2017,24653,9465,12091,294,5058,2168
1,4767819,2017,10253,1114,3821,397,964,unrecorded
2,6275746,2017,1020,8816,12121,134,4508,1080
1,4562674,2017,5876,6157,2933,839,370,4478
2,5087393,2017,18601,6327,10099,2205,2767,3181
1,6956386,2017,7780,2495,9464,669,2518,501
2,7004317,2017,17546,4519,4602,1066,2259,2124
1,2925648,2017,5567,871,2010,3383,375,569
1,1392621,2017,31276,1917,4469,9408,2381,4334
2,1133724,2017,26373,36423,22019,5154,4337,unrecorded
2,8805617,2017,22647,9776,13792,2915,4482,5778
2,6771015,2017,16165,4230,7595,201,4003,57
1,3850837,2017,9898,961,2861,3151,242,833
1,4200242,2017,14276,803,3045,485,100,518
2,8199077,2017,4113,20484,25957,1158,8604,5206
1,1182105,2017,43088,2100,2609,1200,1107,823
1,1946192,2017,18815,3610,11107,1148,2134,2963
1,7345679,2017,2612,4339,3133,2088,820,985
1,5810712,2017,21632,1318,2886,266,918,405
1,3182887,2017,29729,4786,7326,6130,361,1083
1,3056505,2017,1502,1979,2262,425,483,395
2,9342657,2017,688,5491,11091,833,4239,436
1,8682493,2017,29955,4362,5428,1729,862,4626
2,2337886,2017,15168,10556,12477,1920,6506,714
2,1794795,2017,4591,15729,16709,33,6956,433
1,8944950,2017,56159,555,902,10002,212,2916
1,6672415,2017,24025,4332,4757,9510,1145,5864
1,8586849,2017,19176,3065,5956,2033,2575,2802
2,5496209,2017,10850,7555,14961,188,6899,46
