score,value
0.0,0.5
0.001,0.500398942
0.002,0.500797884
0.003,0.501196825
0.004,0.501595765
0.005,0.501994703
0.006,0.502393639
0.007,0.502792573
0.008,0.503191504
0.009,0.503590432
0.01,0.503989356
0.011,0.504388277
0.012,0.504787192
0.013,0.505186104
0.014,0.505585009
0.015,0.50598391
0.016,0.506382804
0.017,0.506781692
0.018,0.507180573
0.019,0.507579447
0.02,0.507978314
0.021,0.508377172
0.022,0.508776022
0.023,0.509174864
0.024,0.509573696
0.025,0.509972518
0.026,0.510371331
0.027,0.510770133
0.028,0.511168924
0.029,0.511567705
0.03,0.511966473
0.031,0.51236523
0.032,0.512763975
0.033,0.513162706
0.034,0.513561425
0.035,0.51396013
0.036,0.514358821
0.037,0.514757497
0.038,0.515156159
0.039,0.515554806
0.04,0.515953437
0.041,0.516352052
0.042,0.516750651
0.043,0.517149233
0.044,0.517547798
0.045,0.517946346
0.046,0.518344875
0.047,0.518743386
0.048,0.519141879
0.049,0.519540352
0.05,0.519938806
0.051,0.52033724
0.052,0.520735653
0.053,0.521134046
0.054,0.521532418
0.055,0.521930768
0.056,0.522329096
0.057,0.522727402
0.058,0.523125686
0.059,0.523523946
0.06,0.523922183
0.061,0.524320395
0.062,0.524718584
0.063,0.525116748
0.064,0.525514887
0.065,0.525913
0.066,0.526311087
0.067,0.526709148
0.068,0.527107183
0.069,0.52750519
0.07,0.52790317
0.071,0.528301122
0.072,0.528699046
0.073,0.529096941
0.074,0.529494807
0.075,0.529892644
0.076,0.530290451
0.077,0.530688228
0.078,0.531085974
0.079,0.531483688
0.08,0.531881372
0.081,0.532279024
0.082,0.532676643
0.083,0.53307423
0.084,0.533471784
0.085,0.533869305
0.086,0.534266791
0.087,0.534664244
0.088,0.535061662
0.089,0.535459045
0.09,0.535856393
0.091,0.536253704
0.092,0.53665098
0.093,0.537048219
0.094,0.537445422
0.095,0.537842587
0.096,0.538239714
0.097,0.538636803
0.098,0.539033853
0.099,0.539430865
